source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'HuffPost'}",Elizabeth Yuko,Half Of US States Are Facing A Caregiver Crisis — Here's How Donald Trump's Cuts To Medicaid Could Make It Worse,"With 48% of states already on the brink of a caregiving emergency, experts warn that Medicaid changes could ""blow a hole in the safety net.""View Entire Post ›",https://www.huffpost.com/entry/caregjver-crisis-study-trump-medicaid_l_683f2e76e4b040f60017b24a,"https://img.buzzfeed.com/buzzfeed-static/static/2025-06/11/18/thumb/kAtcIfxRA.jpg?crop=1245:830;3,0&resize=1250:830",2025-06-14T10:16:02Z,"On top of all the emotional and logistical challenges of caregiving, it can be a huge financial strain on family members who are typically paid little or nothing for their services. In Georgia, for e… [+1919 chars]"
"{'id': None, 'name': 'CNET'}",Katherine Watt,Trying to Find a Job? In This Economy? You Need to Follow These Rules,I asked career specialists for their top tips to hack today's tough job market. You'll want to read them all.,https://www.cnet.com/personal-finance/banking/trying-to-find-a-job-in-this-economy-you-need-to-follow-these-rules/,https://www.cnet.com/a/img/resize/b242cf138b01fa671447809842b29b87bea975e8/hub/2025/06/10/57dbc068-2eda-4739-bd7c-37951a2e255e/image-10.png?auto=webp&fit=crop&height=675&width=1200,2025-06-14T10:15:03Z,"The job hunt isn't what it used to be. Experts share nine tips that can help you stand out to recruiters. 
Jeffrey Hazelwood/CNET
Since getting laid off from a tech marketing role last November, St… [+14579 chars]"
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Kitty Holland,Tusla thinks missing 12-year-old is safe and in UK,Agency acknowledges formal strategy meeting was ‘unacceptably delayed’ in this case,https://www.irishtimes.com/ireland/social-affairs/2025/06/14/tusla-thinks-missing-12-year-old-is-safe-and-in-uk/,https://www.irishtimes.com/resizer/v2/OQ3QTNFSJAC3BRTEEBMNMCWFXM.jpg?smart=true&auth=7d81d37b1eb62c1f40b3a79141d7ee5b38411a2c7c02a13cbfdf03e3fbd4d4f7&width=1200&height=630,2025-06-14T10:12:30Z,"A 12-year-old child who went missing from State care in 2023 is thought to be safe in the United Kingdom, according to Tusla.
In a statement to The Irish Times, the agency said the child, whose wher… [+4246 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,Sun Pharma gets eight observations from USFDA for Halol plant,"Sun Pharma announced that the USFDA issued a Form 483 with eight observations after inspecting its Halol manufacturing plant in Gujarat. The USFDA conducted a Good Manufacturing Practices (GMP) inspection at the facility from June 2-13, 2025. The Form 483, is…",https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/sun-pharma-gets-eight-observations-from-usfda-for-halol-plant/articleshow/121847206.cms,"https://img.etimg.com/thumb/msid-121847220,width-1200,height-630,imgsize-118590,overlay-economictimes/articleshow.jpg",2025-06-14T10:11:46Z,Drug major Sun Pharma on Saturday said the US health regulator has issued a Form 483 with 8 observations after inspecting its Halol (Gujarat) manufacturing plant.The US Food and Drug Administration (… [+560 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,ITC completes acquisition of 24 Mantra Organic brand owner Sresta Natural,"ITC has finalized its all-cash acquisition of Sresta Natural Bioproducts, the owner of '24 Mantra Organic brand', for Rs 472.50 crore. The deal, completed on June 13, 2025, includes an upfront payment and a deferred consideration. This acquisition will streng…",https://economictimes.indiatimes.com/industry/cons-products/food/itc-completes-acquisition-of-24-mantra-organic-brand-owner-sresta-natural/articleshow/121847205.cms,"https://img.etimg.com/thumb/msid-121847238,width-1200,height-630,imgsize-18970,overlay-economictimes/articleshow.jpg",2025-06-14T10:11:41Z,"Multi-conglomerate ITC has completed the acquisition of Sresta Natural Bioproducts, which owns the '24 Mantra Organic brand' in an all-cash deal valued at Rs 472.50 crore.This will help ITC to expand… [+1867 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nishtha Awasthi,"F&O Talk| Nifty's narrow range breaks on Iran-Israel tensions; 24,450–24,500 emerges as key support: Sudeep Shah","Amidst escalating geopolitical tensions, Indian markets faced a downturn, with the Nifty and Sensex both declining. Analyst Sudeep Shah suggests a cautious approach, highlighting crucial support levels for the Nifty at 24450 and resistance at 24900. He antici…",https://economictimes.indiatimes.com/markets/expert-view/fo-talk-niftys-narrow-range-breaks-on-iran-israel-tensions-2445024500-emerges-as-key-support-sudeep-shah/articleshow/121847186.cms,"https://img.etimg.com/thumb/msid-121847182,width-1200,height-630,imgsize-347856,overlay-etmarkets/articleshow.jpg",2025-06-14T10:10:25Z,"Markets remained under pressure and ended the week in the red, with both benchmark indices slipping by over a percent. The decline was largely driven by rising geopolitical tensions and mixed global … [+8552 chars]"
"{'id': None, 'name': 'The Age'}",Chip Le Grand,Victorian Mental Health and Wellbeing Commission muzzled by ‘drastic’ budget cuts,Mental Health and Wellbeing Commission chair Treasure Jennings says the funding cuts leave the commission unable to do the work it was established to do.,https://www.theage.com.au/politics/victoria/mental-health-watchdog-muzzled-by-drastic-budget-cuts-20250614-p5m7em.html,https://static.ffx.io/images/$zoom_0.5312%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_412%2C$y_80/t_crop_custom/q_86%2Cf_auto/t_theage_no_label_no_age_social_wm/d4262a6fd77161de7514aee65ce5b8a7baad78d8,2025-06-14T10:08:26Z,"Mental Health Minister Ingrid Stitt, when questioned in last weeks budget estimates hearings about funding and staffing cuts to the MHWC, said her government was prioritising the delivery of frontlin… [+5299 chars]"
"{'id': None, 'name': 'LADbible'}",Britt Jones,What we know about British mum whose ‘heart went missing’ as medical report rules death as food poisoning,Beth Martin passed away on 29 April during what should have been a family holiday to Turkey with her husband and children,https://www.ladbible.com/news/uk-news/british-mum-heart-missing-turkey-updates-171503-20250614,https://images.ladbible.com/ogimage/v3/assets/bltcd74acc1d0a99f3a/blt0bc8b56e08766cef/684d425ab4931385c5335dac/image_-_2025-06-14T103454.501.png,2025-06-14T10:07:56Z,"A British mums heart went missing after her mysterious death in Turkey, and the world watched on in shock.
Less than two months ago, Beth Martin was heading on a family holiday with her husband Luke… [+4982 chars]"
"{'id': None, 'name': 'Biztoc.com'}",businessinsider.com,"Eat your beans — 1 cup a day cuts inflammation and bad cholesterol, scientists say","Adding more beans to your day could pay off for your long-term heart health and reduce inflammation.
AleksandarGeorgiev/Getty Images
Beans of all kinds are nutritional powerhouses of fiber, protein, and antioxidant polyphenols.
A new study found specific type…",https://biztoc.com/x/3c5ba66c01a341c7,https://biztoc.com/cdn/950/og.png,2025-06-14T10:07:44Z,"Adding more beans to your day could pay off for your long-term heart health and reduce inflammation.AleksandarGeorgiev/Getty ImagesBeans of all kinds are nutritional powerhouses of fiber, protein, an… [+147 chars]"
"{'id': None, 'name': 'Biztoc.com'}",reason.com,Trad Wives and Tallow Fries: How the Wellness Wars Flipped Health and Food Politics Upside Down,"""I don't want to be told how many calories are in my Big Mac meal or my quarter pounder meal. I don't want the government telling me that I can't put salt on my food,"" Sean Hannity declared on Fox News in 2010. ""I like junk food. I like McDonald's. I like Wen…",https://biztoc.com/x/36419ca810af5892,https://biztoc.com/cdn/36419ca810af5892_s.webp,2025-06-14T10:07:36Z,"""I don't want to be told how many calories are in my Big Mac meal or my quarter pounder meal. I don't want the government telling me that I can't put salt on my food,"" Sean Hannity declared on Fox Ne… [+143 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Prakash Chandra Sharma,Failure to timely detect flaws in rail caused North-East Express derailment in Oct 2023: CRS probe,"A final investigation report revealed that undetected flaws in the rail led to the North-East Express derailment at Raghunathpur Station, resulting in casualties and injuries. The report recommends stricter monitoring of rail manufacturing and exploring real-…",https://economictimes.indiatimes.com/industry/transportation/railways/failure-to-timely-detect-flaws-in-rail-caused-north-east-express-derailment-in-oct-2023-crs-probe/articleshow/121847134.cms,"https://img.etimg.com/thumb/msid-121847289,width-1200,height-630,imgsize-509920,overlay-economictimes/articleshow.jpg",2025-06-14T10:07:20Z,"The failure to promptly detect the flaws in the rail caused the derailment of the North-East Express at Raghunathpur Station in Danapur Division of East Central Railway on October 11, 2023, according… [+3524 chars]"
"{'id': None, 'name': 'YouTube'}",,They Censored Our Show For Daring To Talk About Men's Health,They Censored Our Show For Daring To Talk About Men's Healthyoutube.com,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DlAulIO2USd0,,2025-06-14T10:01:12Z,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later"
"{'id': None, 'name': 'Futurism'}",Noor Al-Sibai,ChatGPT Is Telling People With Psychiatric Problems to Go Off Their Meds,"For some people, obsession with ChatGPT has gone so far, it's exacerbating their mental illness — and in some cases, even putting them in harm's way. In interviews with Futurism, concerned loved ones described watching on in horror as the chatbot encouraged, …",https://futurism.com/chatgpt-mental-illness-medications,https://wordpress-assets.futurism.com/2025/06/chatgpt-mental-illness-medications.jpg,2025-06-14T10:00:08Z,"This week, my colleague Maggie Harrison Dupré published a blockbuster story about how people around the world have been watching in horror as their family and loved ones have become obsessed with Cha… [+3185 chars]"
